Drug_Type,Name,Batch_No,Description,Stock,Manufacturing_Date,Expiration_Date,Price,Category
HABB & QURS,Qurs-e-Kafoor,,1000 pill.,,,,370.16,
HABB & QURS,Qurs-e-Mulyaiyan,,30 pill.,,,,32.7,
HABB & QURS,Qurs-e-Mulyaiyan,,1000 pill.,,,,816.07,
HABB & QURS,Qurs-e-Zarishk,,30 pill.,,,,18.18,
HABB & QURS,Qurs-e-Zarishk,,1000 pill.,,,,354.04,
HABB & QURS,Qurs-e-Ziabitus Sada,,30 pill.,,,,19.56,
HABB & QURS,Qurs-e-Ziabitus Sada,,1000 pill.,,,,397.72,
ITRIFAL,Itrifal Kishneezi,,100 gm.,,,,22.84,
ITRIFAL,Itrifal Zamani,,100 gm.,,,,76.41,
ITRIFAL,Itrifal-e-Shahtara,,100 gm.,,,,31.58,
ITRIFAL,Itrifal-e-Ustukhuddus,,100 gm.,,,,27.21,
JAWARISH,Jawarish -e- Shahi,,100 gm.,,,,26.37,
JAWARISH,Jawarish -e- Zarooni Sada,,100 gm.,,,,157.52,
JAWARISH,Jawarish-e- Kamooni,,100 gm.,,,,31.18,
JAWARISH,Jawarish-e- Pudina,,100 gm.,,,,79.4,
JAWARISH,Jawarish-e-Amla Sada,,100 gm.,,,,22.71,
JAWARISH,Jawarish-e-Anarain,,100 gm.,,,,96.78,
JAWARISH,Jawarish-e-Bisbasa,,100 gm.,,,,40.57,
JAWARISH,Jawarish-e-Jalinoos,,100 gm.,,,,198.38,
JAWARISH,Jawarish-e-Mastagi,,100 gm.,,,,77.86,
JAWARISH,Jawarish-e-Zanjabeel,,100 gm.,,,,42.72,
KHAMIRA,Khamira Abresham Sada,,60 gm.,,,,101.69,
KHAMIRA,Khamira-e-Gaozuban Sada,,60 gm.,,,,23.83,
KHAMIRA,Khamira-e-Marwareed (Khas),,60 gm.,,,,137.02,
KUPI PAKVA,Rasamanikya,,5 gms.,,,,40.63,
KUPI PAKVA,Rasamanikya,,100 gms.,,,,709.11,
KUSHTA,Kushta-e- Faulad,,10 gm.,,,,11.81,
KUSHTA,Kushta-e- Godanti,,10 gm.,,,,14.6,
KUSHTA,Kushta-e- Marjan,,10 gm.,,,,209.13,
KUSHTA,Kushta-e- Sadaf,,10 gm.,,,,16.04,
KUSHTA,Kushta-e- Shankha,,10 gm.,,,,8.5,
KUSHTA,Kushta-e-Baiza-e-Murgh,,10 gm.,,,,7.1,
KVATHA CHOORNA,Br. Manjishthadi Kwatha,,100 gms.(K),,,,99.47,
KVATHA CHOORNA,Dashmool Kvatha,,100 gms.(K),,,,30.94,
KVATHA CHOORNA,Nagaradi Kvatha,,100 gms.(K),,,,32.88,
KVATHA CHOORNA,Panchavalkal Kvatha,,100 gms.(K),,,,34.35,
KVATHA CHOORNA,Pashanbhedadi Kvatha,,100 gms.(K),,,,77.48,
KVATHA CHOORNA,Phalatrikadi Kvatha,,100 gms.(K),,,,31.98,
KVATHA CHOORNA,Rasnairandadi Kvatha,,100 gms.(K),,,,184.21,
KVATHA CHOORNA,Rasnairandadi Kvatha,,200 gms.,,,,358.04,
KVATHA CHOORNA,Rasnasaptaka Kwatha,,100 gms.(K),,,,29.57,
KVATHA CHOORNA,Trinpanchamool Kvatha,,100 gms.(K),,,,29.62,
KVATHA CHOORNA,Varunadi Kwatha,,100 gms.(K),,,,41.35,
LAUHA,Br.Yakradari Lauha,,10 gms.,,,,33.2,
LAUHA,Br.Yakradari Lauha,,100 gms.,,,,286.7,
LAUHA,Chandanadi Lauha,,10 gms.,,,,16.12,
LAUHA,Chandanadi Lauha,,100 gms.,,,,115.75,
LAUHA,Dhatri Lauha,,10 gms.,,,,10.43,
LAUHA,Dhatri Lauha,,100 gms.,,,,58.89,
LAUHA,Dhatri Lauha,,60 T/C,,,,39.27,
LAUHA,Navayasa Lauha,,10 gms.,,,,15.87,
LAUHA,Navayasa Lauha,,100 gms.,,,,113.27,
LAUHA,Saptamrita Lauha,,10 gms.,,,,13.84,
LAUHA,Saptamrita Lauha,,100 gms.,,,,93.02,
LAUHA,Shilajatvadi Lauha,,10 gms.,,,,17.25,
LAUHA,Shilajatvadi Lauha,,100 gms.,,,,127.04,
LAUHA,Vidangadya Lauha,,10 gms.,,,,16.04,
LAUHA,Vidangadya Lauha,,100 gms.,,,,114.94,
LAUQ,Lauq-e-Khashkhaash,,100 gm.,,,,39.39,
LAUQ,Lauq-e-Khiarshambar,,100 gm.,,,,22.76,
LAUQ,Lauq-e-Sapistan,,100 gm.,,,,22.74,
LEPA,Dadrughan Lepa,,10 gms.,,,,14.58,
LEPA,Dadrughan Lepa,,100 gms.,,,,100.38,
LEPA,Dashanga Lepa,,50 gms.,,,,51.82,
LEPA,Dashanga Lepa,,500 gms.,,,,441.46,
LEPA,Lepagutika,,10 gms.,,,,24.11,
LEPA,Lepagutika,,100 gms.,,,,195.73,
MAJOON,Anoshdaru,,100 gm.,,,,146.18,
MAJOON,Dawa-ul-Misk Motadil Sada,,100 gm.,,,,129.32,
MAJOON,Majoon Arad Khurma,,100 gm.,,,,40.3,
MAJOON,Majoon Azaraqi,,100 gm.,,,,44.97,
MAJOON,Majoon Chobchini,,100 gm.,,,,50.36,
MAJOON,Majoon Dabeed-ul-Ward,,100 gm.,,,,110.02,
MAJOON,Majoon Falasifa,,100 gm.,,,,54.45,
MAJOON,Majoon Hajrul Yahood,,100 gm.,,,,33.9,
MAJOON,Majoon Ispand Sokhatani,,100 gm.,,,,36.96,
MAJOON,Majoon Jograj Gugal,,100 gm.,,,,55.68,
MAJOON,Majoon Kundur,,100 gm.,,,,59.6,
MAJOON,Majoon Najah,,100 gm.,,,,33.67,
MAJOON,Majoon Piyaz,,100 gm.,,,,78.86,
MAJOON,Majoon Rahul Momineen,,100 gm.,,,,39.3,
MAJOON,Majoon Suparipak,,100 gm.,,,,83.72,
MAJOON,Majoon Suranjan,,100 gm.,,,,33.63,
MAJOON,Majoon Ushba,,100 gm.,,,,35.32,
MAJOON,Majoon Zabeeb,,100 gm.,,,,43.05,
MAJOON,Majoon-e-Masik-ul-Baul,,100 gm.,,,,42.48,
MAJOON,Majoon-e-Nankhwah,,100 gm.,,,,34.42,
MAJOON,Tiryaq-e-Arba,,100 gm.,,,,179.65,
MAJOON,Tiryaq-e-Nazla,,100 gm.,,,,40.86,
MANDOOR,Punarnavadi Mandoor,,10 gms.,,,,12.8,
MANDOOR,Punarnavadi Mandoor,,100 gms.,,,,82.55,
MANDOOR,Punarnavadi Mandoor,,60 T/C,,,,46.37,
MARHAM,Marham Kafoor,,50 gm.,,,,32.66,
MARHAM,Marham Quba,,50 gm.,,,,57.29,
New Product,Draksha Avaleha,,300 gms.,,,,170.4,
New Product,Draksharista,,200 ml.,,,,49.91,
New Product,Draksharista,,400 ml.,,,,100.97,
New Product,Habb-e-Aasab,,30 pill.,,,,7.99,
New Product,Habb-e-Aasab,,1000 pill.,,,,101.18,
New Product,Habb-e-Asgand,,30 pill.,,,,13.05,
New Product,Habb-e-Asgand,,1000 pill.,,,,198.97,
New Product,Habb-e-Banafsa,,30 pill.,,,,31.84,
New Product,Habb-e-Banafsa,,1000 pill.,,,,825.17,
New Product,Habb-e-Bawaseer Damiya,,30 pill.,,,,20.96,
New Product,Habb-e-Bawaseer Damiya,,1000 pill.,,,,462.61,
New Product,Habb-e-Hilteet,,30 pill.,,,,23.58,
New Product,Habb-e-Hilteet,,1000 pill.,,,,549.83,
New Product,Habb-e-Karanjawa,,30 pill.,,,,12.38,
New Product,Habb-e-Karanjawa,,1000 pill.,,,,179.4,
New Product,Habb-e-Mubarak,,30 pill.,,,,10.55,
New Product,Habb-e-Mubarak,,1000 pill.,,,,112,
New Product,Habb-e-Surfa Atfal,,30 pill.,,,,10.17,
New Product,Habb-e-Surfa Atfal,,1000 pill.,,,,162.97,
New Product,Halwa-e-Gheekwar,,100 gm.,,,,34.22,
New Product,Indukant Ghrita,,300 gms.,,,,366.43,
New Product,Kushta-e-Hajrul Yahood,,10 gm.,,,,14.09,
New Product,Laboob-e-Sagheer,,100 gm.,,,,46.64,
New Product,Majoon-e-Muqawwi Raham,,100 gm.,,,,38.52,
New Product,Majoon-e-Sangdanae Murg,,100 gm.,,,,33.88,
New Product,Marham Gulabi,,50 gm.,,,,79.38,
New Product,Marham Kharish Jadeed,,50 gm.,,,,28.8,
New Product,Marham Safaid Kafoori,,50 gm.,,,,26.96,
New Product,Qurs-e-Anjabar,,30 pill.,,,,20.75,
New Product,Qurs-e-Anjabar,,1000 pill.,,,,435.4,
New Product,Qurs-e-Habis,,30 pill.,,,,16.79,
New Product,Qurs-e-Habis,,1000 pill.,,,,309.75,
New Product,Qurs-e-Ziabetus Khas,,30 pill.,,,,16.94,
New Product,Qurs-e-Ziabetus Khas,,1000 pill.,,,,314.57,
New Product,Raughan Ahmar,,50 ml.,,,,81,
New Product,Raughan Suranjan,,50 ml.,,,,96.35,
New Product,Safoof Bars,,50 gm.,,,,59.19,
New Product,Safoof Hazim,,50 gm.,,,,32.94,
New Product,Safoof Kakara-singhi,,50 gm.,,,,86.31,
New Product,Safoof Muhazzil,,50 gm.,,,,39.3,
New Product,Safoof Mushil,,50 gm.,,,,55.9,
New Product,Safoof Shaikh-ur-Rais,,50 gm.,,,,36.6,
New Product,Safoof Surkh,,50 gm.,,,,17.3,
New Product,Safoof Tabkheer,,50 gm.,,,,94.82,
New Product,Shikanjbeen Bazoori Motadil,,200 ml.,,,,53.33,
New Product,Triyak-e-Pechish,,50 gm.,,,,27.7,
New Product,Zimmad-e-Mohallil,,50 gm.,,,,49.24,
OTHER,Sanun Mukharije Ratubat,,50 gm.,,,,117.33,
OTHER,Sanun Mukharije Ratubat,,1 Kg.,,,,2186.4,
