Drug Type,Name,Batch No,Description,Stock,Manufacturing Date,Expiration Date,Price,Category
Patent Medicines,Ayush 64 40 T/C,,,,,,,
Patent Medicines,Ayush 64 1000 T/C,,,,,,,
Patent Medicines,M-Liv 40 T/C,,,,,,,
Patent Medicines,M-Liv 1000 T/C,,,,,,,
Patent Medicines,M-Liv Syrup 100 ml,,,,,,,
Patent Medicines,M-Liv Syrup 200 ml,,,,,,,
Patent Medicines,M-Liv Syrup 450 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 100 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 200 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 450 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 100 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 200 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 450 ml,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 40 T/C,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 40 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Brahmi Rasayan 100 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 5 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 100 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 50 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 1 kg,,,,,,,
Choorna,Ashtanglavan Choorna 50 gm,,,,,,,
Choorna,Ashtanglavan Choorna 1 kg,,,,,,,
Choorna,Ashwagandha Choorna 50 gm,,,,,,,
Choorna,Ashwagandha Choorna 1 kg,,,,,,,
Choorna,Avipattikar Choorna 50 gm,,,,,,,
Choorna,Avipattikar Choorna 1 kg,,,,,,,
Choorna,Bakuchi Choorna 10 gm,,,,,,,
Choorna,Bakuchi Choorna 1 kg,,,,,,,
Choorna,Balchaturbhadrika Choorna 25 gm,,,,,,,
Choorna,Balchaturbhadrika Choorna 1 kg,,,,,,,
Choorna,Bhaskar Lavan Choorna 50 gm,,,,,,,
Choorna,Bhaskar Lavan Choorna 1 kg,,,,,,,
Choorna,Dadimastak Choorna 50 gm,,,,,,,
Choorna,Dadimastak Choorna 1 kg,,,,,,,
Choorna,Dashan Sanskar Choorna 20 gm,,,,,,,
Choorna,Dashan Sanskar Choorna 1 kg,,,,,,,
Choorna,Haritaki Choorna 50 gm,,,,,,,
Choorna,Haritaki Choorna 1 kg,,,,,,,
Choorna,Hingwastak Choorna 50 gm,,,,,,,
Choorna,Hingwastak Choorna 1 kg,,,,,,,
Choorna,Madhuyashti Choorna 25 gm,,,,,,,
Choorna,Madhuyashti Choorna 1 kg,,,,,,,
Choorna,Panchnimb Choorna 50 gm,,,,,,,
Choorna,Panchnimb Choorna 1 kg,,,,,,,
Choorna,Pippali Choorna 25 gm,,,,,,,
Choorna,Pippali Choorna 1 kg,,,,,,,
Choorna,Pushyanug Choorna 50 gm,,,,,,,
Choorna,Pushyanug Choorna 1 kg,,,,,,,
Choorna,Shunthi Choorna 25 gm,,,,,,,
Choorna,Shunthi Choorna 1 kg,,,,,,,
Choorna,Sitopaladi Choorna 25 gm,,,,,,,
Choorna,Sitopaladi Choorna 50 gm,,,,,,,
Choorna,Sitopaladi Choorna 1 kg,,,,,,,
Choorna,Somlata Choorna 25 gm,,,,,,,
Choorna,Somlata Choorna 500 gm,,,,,,,
Choorna,Sudarsana Choorna 25 gm,,,,,,,
Choorna,Sudarsana Choorna 1 kg,,,,,,,
Choorna,Sudha Svarnagairik Choorna 10 gm,,,,,,,
Choorna,Sudha Svarnagairik Choorna 50 gm,,,,,,,
Choorna,Talisadi Choorna 50 gm,,,,,,,
Choorna,Talisadi Choorna 1 kg,,,,,,,
Choorna,Triphala Choorna 50 gm,,,,,,,
Choorna,Triphala Choorna 1 kg,,,,,,,
Choorna,Trivrita Choorna 5 gm,,,,,,,
Choorna,Trivrita Choorna 1 kg,,,,,,,
Kvatha Choorna,Br. Manjishtadi Kvatha 100 gm,,,,,,,
Kvatha Choorna,Dashmool Kvatha 100 gm,,,,,,,
Kvatha Choorna,Nagaradi Kvatha 100 gm,,,,,,,
